Historical Returns - Mutual fund screener| Mutual Fund Screening and Analysis Tool - Moneycontrol.com,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
ICICI Prudential Large & Mid Cap Fund- Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,5,22856.59,0.0004,0.0011,0.1276,0.09720000000000001,0.0989,0.07780000000000001,0.2667,0.2565,0.2955,0.1691
Nippon India Vision Large & Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,5896.53,-0.0015,0.0102,0.1477,0.0669,0.038900000000000004,0.0451,0.2668,0.2516,0.2648,0.1335
Nippon India Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,43828.6,0.0027,0.005699999999999999,0.1484,0.0861,0.0638,0.0496,0.2212,0.2416,0.2688,0.1514
DSP Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,6323.27,0.0022,0.0025,0.1094,0.085,0.0682,0.0821,0.2288,0.2207,0.21100000000000002,0.124
Kotak Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,4,10138.03,0.002,0.0104,0.1432,0.0855,0.0632,0.0508,0.1978,0.1981,0.2194,0.1414
Bandhan Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,4,1862.19,0.0009,0.0097,0.1438,0.07440000000000001,0.0453,0.045700000000000005,0.2046,0.2053,0.2121,0.1359
Baroda BNP Paribas Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,4,2613.57,0.0002,0.0103,0.1336,0.0604,0.0358,0.0155,0.2113,0.20739999999999997,0.2126,0.138
ICICI Prudential Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,72336.05,-0.0001,0.011699999999999999,0.1301,0.0916,0.0751,0.0564,0.22149999999999997,0.22010000000000002,0.2377,0.151
Canara Robeco Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,4,16617.33,-0.0018,0.0086,0.1291,0.07919999999999999,0.060899999999999996,0.07,0.1962,0.2,0.2125,0.1506
Edelweiss Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,4,1322.07,-0.0032,0.0076,0.12869999999999998,0.0746,0.054000000000000006,0.037200000000000004,0.1873,0.20809999999999998,0.2184,0.1389
DSP Liquidity Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,4,17751.61,0.0011,0.0049,0.016,0.0354,0.0373,0.0727,0.0732,0.0705,0.056100000000000004,0.06309999999999999
Bajaj Finserv Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,5,4615.21,0.0011,0.0049,0.016,0.0352,0.037200000000000004,0.0724,0.0732,-,-,-
Bank of India Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,4,1442.85,0.0011,0.0048,0.0161,0.0353,0.037200000000000004,0.0725,0.0732,0.0707,0.056299999999999996,0.06309999999999999
Canara Robeco Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,4,4692.39,0.0011,0.0049,0.016,0.0356,0.037599999999999995,0.0726,0.0732,0.0707,0.0559,0.0617
Mirae Asset Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,4,14285.45,0.0011,0.0048,0.016,0.0353,0.0373,0.0725,0.0732,0.0706,0.0565,0.06269999999999999
SBI Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,4,65172.43,0.001,0.0048,0.0159,0.0351,0.037000000000000005,0.0716,0.0725,0.0701,0.0558,0.0626
JM Liquid Fund - (Direct) - Growth,Direct Plan,Liquid Fund,5,2195.97,0.001,0.004699999999999999,0.0159,0.0349,0.0368,0.07150000000000001,0.0723,0.0699,0.0558,0.063
Parag Parikh Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,5,3425.78,0.001,0.004699999999999999,0.015600000000000001,0.0336,0.0354,0.0688,0.0693,0.0667,0.053200000000000004,-
Motilal Oswal Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,5,1116.97,0.001,0.0046,0.015,0.032799999999999996,0.0346,0.0677,0.0689,0.0662,0.0525,-
Quantum Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,5,534.14,0.001,0.0045000000000000005,0.0151,0.032799999999999996,0.0347,0.0682,0.0696,0.0674,0.0536,0.057999999999999996
ICICI Prudential Long Term Bond Fund - Direct Plan - Growth,Direct Plan,Long Duration Fund,4,1164.41,-0.0008,-0.0012,0.0086,0.0496,0.0508,0.0992,0.0931,0.0904,0.0564,0.08220000000000001
Tata Treasury Advantage Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,4,3126.53,0.0011,0.0051,0.0213,0.0444,0.0464,0.0833,0.079,0.07440000000000001,0.061200000000000004,0.0652
DSP Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,4,5809.42,0.0011,0.0049,0.021,0.0443,0.046,0.08289999999999999,0.0783,0.07429999999999999,0.0602,0.0712
Mirae Asset Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,5,1838.28,0.0011,0.0051,0.0217,0.045599999999999995,0.047400000000000005,0.0855,0.0809,0.0761,0.0617,0.0673
Bandhan Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,4,6506.28,0.0011,0.005,0.0212,0.0444,0.0462,0.0823,0.07769999999999999,0.0738,0.0591,0.0706
HSBC Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,4,579.95,0.0011,0.0051,0.0342,0.0592,0.061,0.09880000000000001,0.0883,0.0812,0.066,0.0738
DSP Bond Fund - Direct Plan - Growth,Direct Plan,Medium Duration Fund,4,314.71,0.0012,0.0019,0.0246,0.057999999999999996,0.0601,0.10060000000000001,0.08779999999999999,0.08199999999999999,0.0625,0.06849999999999999
Bandhan Bond Fund - Medium Term Plan - Direct Plan - Growth,Direct Plan,Medium Duration Fund,5,1475.77,0.0004,0.0037,0.021400000000000002,0.0527,0.054400000000000004,0.0971,0.08560000000000001,0.0793,0.0574,0.0746
Canara Robeco Income Fund - Direct Plan - Growth Plan,Direct Plan,Medium to Long Duration Fund,5,125.81,0.0009,0.0019,0.011200000000000002,0.0418,0.0432,0.0815,0.08130000000000001,0.0771,0.055999999999999994,0.07519999999999999
Nippon India Medium to Long Duration Fund - Direct Plan - Growth,Direct Plan,Medium to Long Duration Fund,4,426.15,0,0.0005,0.010700000000000001,0.044500000000000005,0.0461,0.0874,0.0842,0.08839999999999999,0.060899999999999996,0.08039999999999999
Kotak Bond Fund - Direct Plan - Growth,Direct Plan,Medium to Long Duration Fund,4,2093.73,-0.0006,0.0003,0.015,0.046799999999999994,0.049100000000000005,0.0906,0.0895,0.0873,0.0643,0.0788
HDFC Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,4,79717.67,0.0003,0.016399999999999998,0.2004,0.08,0.036000000000000004,0.0757,0.29,0.31980000000000003,0.3309,0.1895
Sundaram Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,4,12818.1,-0.0036,0.0027,0.1747,0.057,0.0085,0.0658,0.3055,0.2922,0.29600000000000004,0.15710000000000002
Franklin India Prima Fund - Direct - Growth,Direct Plan,Mid Cap Fund,4,12784.81,-0.004,0.0137,0.1736,0.0626,0.0203,0.0625,0.2934,0.2845,0.281,0.16449999999999998
ITI Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,4,1249.03,-0.0064,-0.0063,0.175,0.053899999999999997,0.012199999999999999,-0.028999999999999998,0.3122,0.2959,-,-
