Scheme Name,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y,Category,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio
HDFC Flexi Cap Fund - Direct Plan - Growth,75784.48,0.0133,0.0276,0.0953999999999999,0.0744,0.0781,0.1105,0.2698,0.2857,0.3071,0.1637,Flexi Cap Fund,9.99,0.8,2.03,8.11,0.25
HDFC Focused Fund - Direct Plan - Growth,19577.58,0.0132,0.0268,0.0936999999999999,0.0765,0.0801,0.1135999999999999,0.275,0.2916,0.3096,0.16,Focused Fund,9.42,0.74,2.2,9.45,0.28
HDFC Mid Cap Fund - Direct Plan - Growth,79717.67,0.0253,0.0469,0.1503,0.0359,0.036,0.0892999999999999,0.2933,0.3364,0.33649999999999997,0.18960000000000002,Mid Cap Fund,12.82,0.86,1.93,5.27,0.29
HDFC Nifty 50 Index Fund - Direct Plan,20409.32,0.0213,0.0344,0.1072,0.0822,0.0867,0.0676,0.1639999999999999,0.1851,0.2072,0.12689999999999999,Index Funds/ETFs,11.16,0.99,1.09,-0.18,0.12
ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,43159.31,0.0126,0.023,0.08,0.0844999999999999,0.0898,0.1027,0.2373,0.2346,0.2677,0.1661,Aggressive Hybrid Fund,8.23,0.8,1.92,7.62,0.2
ICICI Prudential Focused Equity Fund - Direct Plan - Growth,11666.69,0.0137,0.0312,0.1273,0.0928,0.0951,0.1202,0.2878,0.2841,0.2813,0.16260000000000002,Focused Fund,10.68,0.86,1.91,7.5,0.24
ICICI Prudential Gilt Fund - Direct Plan - Growth,7347.01,0.0003,-0.0015,0.0264,0.0562,0.0557,0.1024,0.0923,0.0946,0.0701,0.08869999999999999,Gilt Fund,1.21,0.32,2.89,3.06,0.11
ICICI Prudential Large & Mid Cap Fund- Direct Plan - Growth,21656.65,0.0162,0.0204999999999999,0.1008,0.0925,0.0999,0.0993,0.2717,0.2701,0.3032,0.1673,Large & Mid Cap Fund,10.38,0.81,1.85,4.88,0.24
ICICI Prudential Large Cap Fund - Direct Plan - Growth,69762.55,0.0186,0.0292,0.1009999999999999,0.0733999999999999,0.0791,0.0795,0.2282,0.2347,0.24539999999999998,0.15130000000000002,Large Cap Fund,10.35,0.88,1.56,4.87,0.18
ICICI Prudential Long Term Bond Fund - Direct Plan - Growth,1229.87,-0.0001,-0.0102,0.0172,0.0515,0.0504999999999999,0.1025,0.0924,0.0916,0.0583,0.0828,Long Duration Fund,2.42,-0.18,1.36,3.54,-0.18
ICICI Prudential Multi-Asset Fund - Direct Plan - Growth,59452.32,0.0092,0.0216,0.0648,0.0997,0.1039,0.1245,0.2286,0.2297,0.2551,0.1607,Multi Asset Allocation,6.25,0.5,2.43,8.97,0.3
ICICI Prudential Multicap Fund - Direct Plan - Growth,15094.86,0.0178,0.0217,0.1012,0.0509,0.0556,0.0683,0.2532,0.2653999999999999,0.27649999999999997,0.15810000000000002,Multi Cap Fund,10.33,0.8,1.82,4.45,0.23
ICICI Prudential Value Fund - Direct Plan - Growth,52597.66,0.0155,0.0236,0.0981,0.0794,0.0836,0.1093,0.2596,0.2663,0.2961,0.1604,Value Fund,9.38,0.75,1.95,6.91,0.24
Kotak Arbitrage Fund - Direct Plan - Growth,67362.14,0.0019,0.0064,0.0184,0.0375999999999999,0.0382,0.0775,0.0818,0.0771999999999999,0.0639,0.0652,Arbitrage Fund,0.85,0.55,2.2,1.08,0.03
Kotak Bond Fund - Direct Plan - Growth,2131.27,0.0001,-0.0046,0.0229,0.0496999999999999,0.0493,0.0942,0.0892,0.0882,0.0662,0.0796,Medium to Long Duration Fund,1.64,0.68,1.78,1.32,0.04
